CharityRegistrationNumber,Name,StreetAddressLine1,StreetAddressLine2,StreetAddressSuburb,StreetAddressCity,StreetAddressPostcode,StreetAddressCountry,Latitude,Longitude
CC33327,Southern Cross Health Trust Group,"Level 14, ANZ Centre",23-29 Albert Street,Auckland Central,Auckland,1010,New Zealand,-36.8455854,174.7635318
CC38958,The Horticentre Group,LEVEL 2,72 Grafton Road,Grafton,Auckland,1010,New Zealand,-36.8576023,174.7694952
CC40981,The Chatham Islands Enterprise Trust Group,Owenga Road,Sandstone, ,Chatham Islands,8942,New Zealand,-44.0274405,-176.3616173
CC48340,The Society of the Sacred Heart,237 Victoria Avenue, ,Remuera,Auckland,1050,New Zealand,-36.865302,174.8017971
CC45255,University of Canterbury and Trust Funds Group,University Drive,Ilam, ,Christchurch,8140,New Zealand,-43.5255334,172.5827891
CC31646,Te Whanau o Waipareira Group,Corner Edmonton And Great North Roads, ,Henderson,Waitakere City,,New Zealand,53.5460983,-113.4937266
CC43060,Waikato Raupatu Lands Trust and Group,6 Bryce Street, ,Hamilton Central,Hamilton,3204,New Zealand,-37.7845596,175.2813826
CC21777,Wellington City Mission Group,19 Gordon Place, ,Newtown,Wellington,6021,New Zealand,-41.3149528,174.7795718
CC31369,Wellington Free Ambulance Group,Wellington Free Ambulance (Wfa) Headquarters,19 Davis Street,Pipitea,Wellington,6011,New Zealand,-41.2749277,174.7825261
CC41167,Wise Group,293 Grey Street, ,Hamilton East,Hamilton,3216,New Zealand,-37.7946771,175.2931808
CC52233,Tuhoe Tribal Authorities,12 Tuhoe Street,Taneatua 3191, ,Taneatua,3191,New Zealand,-38.0602171,177.0004695
CC53047,Business In The Community Group,145 Khyber Pass Road,255 Broadway,Grafton,Auckland,1023,New Zealand,-36.8653408,174.7653794
CC53187,Presbyterian Support East Coast Group,87 Te Mata Road,, ,Havelock North,4130,New Zealand,-39.6658605,176.8877946
CC53328,Legacy Trust Group,C/- LELLMAN WEARNE CURRAGH LTD,78 First Avenue, ,Tauranga,3110,New Zealand,-37.6883116,176.1670682
CC53404,Waitangi National Trust Group,Tau Henare Drive,Waitangi, ,"Paihia, Bay Of Islands",,New Zealand,-35.2636919,174.0779476
